DeathZip,Year,Deaths
90095,2014,3
90095,2015,1
90095,2016,4
90095,2017,4
90095,2018,3
90095,2019,7
90095,2020,8
90095,2021,6
90095,2022,10
90095,2023,7
90103,2017,1
90201,2012,2
90201,2013,1
90201,2014,1
90201,2016,2
90201,2017,3
90201,2018,3
90201,2019,5
90201,2020,15
90201,2021,18
90201,2022,10
90201,2023,4
90210,2012,1
90210,2013,2
90210,2016,2
90210,2017,3
90210,2018,1
90210,2019,7
90210,2020,5
90210,2021,4
90210,2022,2
90211,2012,1
90211,2015,1
90211,2020,1
90211,2022,3
90211,2023,2
90212,2017,1
90212,2018,2
90212,2019,1
90212,2020,1
90212,2022,4
90212,2023,1
90220,2012,4
90220,2013,6
90220,2015,3
90220,2016,3
90220,2017,1
90220,2018,3
90220,2019,3
90220,2020,10
90220,2021,10
90220,2022,9
90220,2023,10
90221,2013,2
90221,2014,1
90221,2015,3
90221,2016,2
90221,2017,1
90221,2018,5
90221,2019,7
90221,2020,14
90221,2021,15
90221,2022,14
90221,2023,15
90222,2015,1
90222,2016,2
90222,2018,1
90222,2019,3
90222,2020,4
90222,2021,9
90222,2022,6
90222,2023,5
90230,2012,1
90230,2013,4
90230,2014,3
90230,2015,2
90230,2016,2
90230,2017,1
90230,2019,3
90230,2020,5
90230,2021,5
90230,2022,12
90230,2023,7
90231,2014,1
90231,2017,1
90232,2012,5
90232,2013,1
90232,2014,3
90232,2015,2
90232,2016,2
90232,2017,2
90232,2018,3
90232,2019,1
90232,2020,7
90232,2021,10
90232,2022,5
90232,2023,4
90233,2023,1
90240,2015,2
90240,2019,3
90240,2020,3
90240,2021,2
90240,2022,4
90240,2023,2
90241,2012,2
90241,2013,2
90241,2014,5
90241,2015,3
90241,2016,3
90241,2017,7
90241,2018,6
90241,2019,5
90241,2020,6
90241,2021,6
90241,2022,10
90241,2023,4
90242,2012,1
90242,2013,3
90242,2014,3
90242,2015,2
90242,2016,2
90242,2017,5
90242,2018,3
90242,2019,2
90242,2020,12
90242,2021,4
90242,2022,13
90242,2023,9
90245,2012,2
90245,2014,1
90245,2015,2
90245,2016,1
90245,2018,1
90245,2019,5
90245,2020,1
90245,2021,2
90247,2012,5
90247,2013,5
90247,2014,3
90247,2015,5
90247,2016,4
90247,2017,5
90247,2018,7
90247,2019,6
90247,2020,18
90247,2021,17
90247,2022,21
90247,2023,16
90248,2013,1
90248,2015,4
90248,2016,2
90248,2017,2
90248,2018,2
90248,2019,1
90248,2020,6
90248,2021,7
90248,2022,6
90248,2023,5
90249,2012,1
90249,2013,1
90249,2015,4
90249,2017,1
90249,2018,1
90249,2019,6
90249,2020,5
90249,2021,3
90249,2022,4
90249,2023,4
90250,2012,1
90250,2013,5
90250,2014,8
90250,2015,6
90250,2016,3
90250,2017,3
90250,2018,8
90250,2019,5
90250,2020,20
90250,2021,22
90250,2022,19
90250,2023,6
90254,2012,2
90254,2013,5
90254,2014,1
90254,2015,1
90254,2016,4
90254,2017,1
90254,2018,3
90254,2019,2
90254,2020,5
90254,2021,4
90254,2022,3
90254,2023,3
90255,2012,2
90255,2013,2
90255,2014,7
90255,2015,2
90255,2016,8
90255,2017,6
90255,2018,7
90255,2019,11
90255,2020,18
90255,2021,19
90255,2022,17
90255,2023,14
90260,2012,1
90260,2014,1
90260,2015,1
90260,2016,4
90260,2017,6
90260,2018,4
90260,2019,3
90260,2020,7
90260,2021,7
90260,2022,8
90260,2023,10
90261,2021,1
90262,2012,4
90262,2013,4
90262,2014,6
90262,2015,9
90262,2016,13
90262,2017,9
90262,2018,15
90262,2019,20
90262,2020,22
90262,2021,25
90262,2022,19
90262,2023,15
90263,2022,1
90265,2012,1
90265,2013,1
90265,2014,1
90265,2015,1
90265,2016,2
90265,2017,3
90265,2018,2
90265,2019,1
90265,2020,1
90265,2021,1
90265,2022,8
90265,2023,3
90266,2013,1
90266,2014,1
90266,2015,1
90266,2016,1
90266,2017,1
90266,2018,2
90266,2019,2
90266,2020,5
90266,2022,1
90266,2023,2
90270,2013,2
90270,2014,1
90270,2015,1
90270,2017,1
90270,2018,3
90270,2020,2
90270,2021,4
90270,2022,4
90270,2023,3
90272,2013,1
90272,2014,2
90272,2015,1
90272,2016,3
90272,2017,1
90272,2018,1
90272,2019,2
90272,2020,2
90272,2021,2
90272,2022,2
90272,2023,2
90274,2013,2
90274,2014,1
90274,2015,1
90274,2017,3
90274,2018,1
90274,2019,1
90274,2020,5
90274,2022,2
90274,2023,2
90275,2013,2
90275,2015,2
90275,2016,2
90275,2018,2
90275,2020,1
90275,2021,2
90275,2022,1
90275,2023,1
90277,2012,1
90277,2013,2
90277,2015,2
90277,2016,4
90277,2017,3
90277,2018,4
90277,2019,6
90277,2020,8
90277,2021,7
90277,2022,6
90277,2023,7
90278,2013,2
90278,2015,2
90278,2016,1
90278,2017,6
90278,2018,2
90278,2019,6
90278,2020,3
90278,2021,4
90278,2022,6
90278,2023,1
90280,2012,1
90280,2013,3
90280,2014,1
90280,2015,7
90280,2017,4
90280,2018,3
90280,2019,7
90280,2020,12
90280,2021,13
90280,2022,13
90280,2023,8
90290,2013,1
90290,2016,1
90290,2021,1
90290,2022,1
90291,2012,4
90291,2013,5
90291,2014,1
90291,2015,3
90291,2016,8
90291,2017,5
90291,2018,5
90291,2019,2
90291,2020,14
90291,2021,17
90291,2022,18
90291,2023,13
90292,2012,3
90292,2013,6
90292,2014,3
90292,2015,7
90292,2016,5
90292,2017,5
90292,2018,5
90292,2019,5
90292,2020,14
90292,2021,10
90292,2022,10
90292,2023,10
90293,2016,4
90293,2017,1
90293,2020,2
90293,2021,1
90293,2022,1
90293,2023,2
90301,2012,4
90301,2013,12
90301,2014,14
90301,2015,9
90301,2016,6
90301,2017,11
90301,2018,17
90301,2019,13
90301,2020,16
90301,2021,23
90301,2022,14
90301,2023,21
90302,2012,1
90302,2014,1
90302,2016,1
90302,2017,1
90302,2018,4
90302,2019,5
90302,2020,7
90302,2021,2
90302,2022,6
90302,2023,1
90303,2013,1
90303,2014,1
90303,2016,2
90303,2018,4
90303,2019,4
90303,2020,5
90303,2021,2
90303,2022,5
90304,2013,3
90304,2014,4
90304,2015,1
90304,2016,1
90304,2017,3
90304,2018,2
90304,2019,7
90304,2020,5
90304,2021,3
90304,2022,9
90304,2023,6
90305,2013,1
90305,2015,1
90305,2016,1
90305,2018,1
90305,2019,1
90305,2022,1
90306,2012,1
90306,2017,1
90401,2014,7
90401,2015,3
90401,2016,3
90401,2017,4
90401,2018,8
90401,2019,5
90401,2020,6
90401,2021,13
90401,2022,14
90401,2023,18
90402,2014,1
90402,2015,2
90402,2019,4
90402,2020,1
90402,2021,1
90402,2022,1
90402,2023,2
90403,2012,2
90403,2013,2
90403,2014,2
90403,2015,5
90403,2016,1
90403,2017,2
90403,2018,5
90403,2019,5
90403,2020,5
90403,2021,8
